t0,t1,variable,flag,comment,URL_graphic
2013-01-25T11:00:00+00:00,2013-06-21T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2013-01-25T11:00:00+00:00,2013-06-21T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2015-01-25T11:00:00+00:00,2015-07-21T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2015-01-25T11:00:00+00:00,2015-07-21T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2019-04-01T00:00:00+00:00,2019-07-31T00:00:00+00:00,LongwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,2010-01-01T00:00:00+00:00,SnowHeightm,CHECKME,Manually flagged by bav,
2010-12-14T00:00:00+00:00,2011-08-12T00:00:00+00:00,SurfaceHeightm,CHECKME,Manually flagged by bav,
2012-02-03T00:00:00+00:00,2012-06-03T00:00:00+00:00,SurfaceHeightm,CHECKME,Manually flagged by bav,
2013-01-01T00:00:00+00:00,2013-09-09T00:00:00+00:00,SurfaceHeightm,CHECKME,Manually flagged by bav,
2014-09-20T00:00:00+00:00,2015-08-14T00:00:00+00:00,SurfaceHeightm,CHECKME,Manually flagged by bav,
2015-09-15T00:00:00+00:00,2015-12-14T00:00:00+00:00,SurfaceHeightm,CHECKME,Manually flagged by bav,
2016-06-15T00:00:00+00:00,2016-07-14T00:00:00+00:00,SurfaceHeightm,CHECKME,Manually flagged by bav,
2008-06-01T00:00:00+00:00,2009-08-12T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/MIT_dpt_1.png
2015-12-31T00:00:00+00:00,2016-05-29T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/MIT_dpt_1.png
2016-01-02T00:00:00+00:00,2017-07-01T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/MIT_dpt_1.png
2017-10-01T00:00:00+00:00,2018-07-01T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/MIT_dpt_1.png
2018-10-01T00:00:00+00:00,2018-11-01T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/MIT_dpt_1.png
2019-01-02T00:00:00+00:00,2019-07-01T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/MIT_dpt_1.png
2019-09-10T00:00:00+00:00,2019-11-01T00:00:00+00:00,DepthPressureTransducer_Cor(m),CHECKME,manually flagged by bav,https://github.com/GEUS-PROMICE/AWS-data/blob/main/flags/graphics/MIT_dpt_1.png
