t0,t1,variable,flag,comment,URL_graphic
2001-06-15T16:00:00+00:00,2001-06-20T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2001-06-15T16:00:00+00:00,2001-06-20T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2003-05-15T01:00:00+00:00,2003-05-16T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2012-01-01T15:00:00+00:00,2012-05-12T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2012-01-01T15:00:00+00:00,2012-05-16T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2012-12-01T10:00:00+00:00,2013-03-16T00:00:00+00:00,WindSpeed2ms,CHECKME,Manually flagged by bav,
2012-12-01T10:00:00+00:00,2013-03-16T00:00:00+00:00,WindSpeed1ms,CHECKME,Manually flagged by bav,
2013-05-18T04:00:00+00:00,2013-05-19T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2014-01-22T12:00:00+00:00,2014-05-05T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2014-01-24T13:00:00+00:00,2014-05-04T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2013-12-23T22:00:00+00:00,2014-04-08T00:00:00+00:00,WindSpeed1ms,CHECKME,Manually flagged by bav,
2013-12-23T22:00:00+00:00,2014-04-08T00:00:00+00:00,WindSpeed2ms,CHECKME,Manually flagged by bav,
2015-03-06T00:00:00+00:00,2015-03-07T00:00:00+00:00,WindSpeed1ms,CHECKME,Manually flagged by bav,
2015-03-06T00:00:00+00:00,2015-03-07T00:00:00+00:00,WindSpeed2ms,CHECKME,Manually flagged by bav,
2015-03-22T04:59:00+00:00,2015-03-25T00:00:00+00:00,WindSpeed1ms,CHECKME,Manually flagged by bav,
2015-03-22T04:59:00+00:00,2015-03-25T00:00:00+00:00,WindSpeed2ms,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,2011-06-01T00:00:00+00:00,IceTemperature1,CHECKME,Manually flagged by bav,
2010-06-01T00:00:00+00:00,2011-06-01T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
2011-06-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature10,CHECKME,Manually flagged by bav,
2011-06-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature9,CHECKME,Manually flagged by bav,
2001-09-01T00:00:00+00:00,2011-07-01T00:00:00+00:00,IceTemperature7_,CHECKME,Manually flagged by bav,
2001-09-01T00:00:00+00:00,2011-07-01T00:00:00+00:00,IceTemperature6_,CHECKME,Manually flagged by bav,
2001-09-01T00:00:00+00:00,2011-07-01T00:00:00+00:00,IceTemperature8_,CHECKME,Manually flagged by bav,
2006-06-01T00:00:00+00:00,2009-01-01T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature1,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature3,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature5,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature6,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature7,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature8,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature9,CHECKME,Manually flagged by bav,
2017-11-15T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature10,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature1,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature3,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature5,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature6,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature7,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature8,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature9,CHECKME,Manually flagged by bav,
2011-04-24T00:00:00+00:00,2011-06-17T00:00:00+00:00,IceTemperature10,CHECKME,Manually flagged by bav,
