t0,t1,variable,flag,comment,URL_graphic
2012-01-12T00:00:00+00:00,2016-01-01T00:00:00+00:00,AirTemperature1C,CHECKME,Manually flagged by bav,
2012-01-12T00:00:00+00:00,2016-01-01T00:00:00+00:00,AirTemperature2C,CHECKME,Manually flagged by bav,
2008-02-11T04:59:57+00:00,2008-03-03T00:00:00+00:00,AirTemperature1C,CHECKME,Manually flagged by bav,
2008-02-11T04:59:57+00:00,2008-03-03T00:00:00+00:00,AirTemperature2C,CHECKME,Manually flagged by bav,
2008-02-11T04:59:57+00:00,2008-03-03T00:00:00+00:00,AirTemperature3C,CHECKME,Manually flagged by bav,
2008-02-11T04:59:57+00:00,2008-03-03T00:00:00+00:00,AirTemperature4C,CHECKME,Manually flagged by bav,
2008-02-11T04:59:57+00:00,2008-03-03T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2008-02-11T04:59:57+00:00,2008-03-03T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2010-01-26T21:00:00+00:00,2010-04-15T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2010-01-26T21:00:00+00:00,2010-04-15T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2010-05-02T07:00:02+00:00,2010-05-04T00:00:00+00:00,AirPressurehPa,CHECKME,Manually flagged by bav,
2009-04-27T16:59:57+00:00,2010-05-02T00:00:00+00:00,RelativeHumidity1Perc,CHECKME,Manually flagged by bav,
2009-04-27T16:59:57+00:00,2010-05-02T00:00:00+00:00,RelativeHumidity2Perc,CHECKME,Manually flagged by bav,
2007-12-27T06:00:00+00:00,2010-05-01T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2007-12-27T06:00:00+00:00,2010-05-01T00:00:00+00:00,SnowHeight2m,CHECKME,Manually flagged by bav,
2007-12-28T03:00:00+00:00,2010-05-04T00:00:00+00:00,AirPressurehPa,CHECKME,Manually flagged by bav,
