t0,t1,variable,flag,comment,URL_graphic
1995-06-04T02:00:00+00:00,2014-03-23T00:00:00+00:00,oShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
1996-05-31T00:00:00+00:00,1997-05-27T00:00:00+00:00,AirPressurehPa,CHECKME,Manually flagged by bav,
2005-05-26T00:00:00+00:00,2006-04-28T00:00:00+00:00,oAirPressurehPa,CHECKME,Manually flagged by bav,
2006-04-27T15:00:00+00:00,2007-04-28T00:00:00+00:00,oRelativeHumidity1Perc,CHECKME,Manually flagged by bav,
2006-04-27T15:00:00+00:00,2007-04-28T00:00:00+00:00,oRelativeHumidity2Perc,CHECKME,Manually flagged by bav,
1998-05-10T13:00:00+00:00,1998-05-14T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2007-02-22T15:00:00+00:00,2007-03-08T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2007-11-25T10:00:02+00:00,2007-11-26T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2008-02-24T13:00:00+00:00,2008-03-31T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2016-01-22T00:00:00+00:00,2016-02-21T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2016-01-22T00:00:00+00:00,2016-02-21T00:00:00+00:00,SnowHeight2m,CHECKME,Manually flagged by bav,
2011-06-01T19:00:00+00:00,2011-06-05T00:00:00+00:00,AirPressurehPa,CHECKME,Manually flagged by bav,
2012-01-08T15:00:00+00:00,2012-01-15T00:00:00+00:00,AirPressurehPa,CHECKME,Manually flagged by bav,
2012-01-30T16:00:00+00:00,2012-03-27T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2013-02-13T16:00:00+00:00,2013-03-19T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2003-01-01T19:00:00+00:00,2005-06-05T00:00:00+00:00,AirPressurehPa,CHECKME,Manually flagged by bav,
2011-05-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature1,CHECKME,Manually flagged by bav,
2011-05-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
2011-05-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature3,CHECKME,Manually flagged by bav,
2013-05-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
2013-07-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature5,CHECKME,Manually flagged by bav,
2007-10-01T00:00:00+00:00,2007-10-30T00:00:00+00:00,IceTemperature5,CHECKME,Manually flagged by bav,
2013-05-25T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature6,CHECKME,Manually flagged by bav,
