t0,t1,variable,flag,comment,URL_graphic
2015-01-25T11:00:00+00:00,2015-06-21T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2015-01-25T11:00:00+00:00,2015-06-21T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2017-01-15T16:00:00+00:00,2017-06-21T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2017-01-15T16:00:00+00:00,2017-06-11T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2014-07-28T00:00:00+00:00,2014-09-04T00:00:00+00:00,SnowHeight2m,CHECKME,Manually flagged by bav,
2015-07-11T02:00:00+00:00,2015-07-25T00:00:00+00:00,SnowHeight2m,CHECKME,Manually flagged by bav,
2017-08-24T11:00:00+00:00,2017-09-19T00:00:00+00:00,SnowHeight2m,CHECKME,Manually flagged by bav,
2015-04-01T00:00:00+00:00,2015-06-20T00:00:00+00:00,LongwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2015-03-25T00:00:00+00:00,2015-06-20T00:00:00+00:00,UpwardRadiationDownWm2,CHECKME,Manually flagged by bav,
2017-03-15T16:00:00+00:00,2017-05-11T00:00:00+00:00,WindSpeed2ms,CHECKME,Manually flagged by bav,
2017-04-15T16:00:00+00:00,2017-05-11T00:00:00+00:00,UpwardRadiationDownWm2,CHECKME,Manually flagged by bav,
