t0,t1,variable,flag,comment,URL_graphic
2015-07-20T00:00:00+00:00,2015-12-20T00:00:00+00:00,SnowHeight1m,CHECKME,Manually flagged by bav,
2015-01-01T00:00:00+00:00,2015-12-20T00:00:00+00:00,AirTemperature1C,CHECKME,Manually flagged by bav,
2014-01-01T00:00:00+00:00,2018-12-20T00:00:00+00:00,RelativeHumidity1Perc,CHECKME,Manually flagged by bav,
2014-01-01T00:00:00+00:00,2018-12-20T00:00:00+00:00,RelativeHumidity2Perc,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature1,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature3,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature5,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature6,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature7,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature8,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature9,CHECKME,Manually flagged by bav,
2011-12-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature10,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature1,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature3,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature5,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature6,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature7,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature8,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature9,CHECKME,Manually flagged by bav,
1998-04-10T00:00:00+00:00,1998-04-20T00:00:00+00:00,IceTemperature10,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature1,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature3,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature5,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature6,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature7,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature8,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature9,CHECKME,Manually flagged by bav,
2001-05-24T00:00:00+00:00,2001-06-20T00:00:00+00:00,IceTemperature10,CHECKME,Manually flagged by bav,
