t0,t1,variable,flag,comment,URL_graphic
1997-02-21T14:00:00+00:00,1997-03-18T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
1997-02-21T14:00:00+00:00,1997-03-18T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
1998-02-20T04:00:00+00:00,1998-03-21T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
1998-02-20T04:00:00+00:00,1998-03-21T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
1998-05-18T19:59:57+00:00,1998-05-20T00:00:00+00:00,RelativeHumidity1Perc,CHECKME,Manually flagged by bav,
1998-10-16T13:00:00+00:00,2001-06-10T00:00:00+00:00,RelativeHumidity2Perc,CHECKME,Manually flagged by bav,
1998-11-06T14:00:00+00:00,1999-04-04T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
1998-11-06T14:00:00+00:00,1999-04-04T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
1999-10-26T12:00:00+00:00,2000-03-22T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
1999-10-26T12:00:00+00:00,2000-03-22T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2000-11-27T18:00:00+00:00,2001-04-06T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2000-11-27T18:00:00+00:00,2001-04-06T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2009-02-18T12:00:00+00:00,2009-04-03T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2009-02-18T12:00:00+00:00,2009-04-03T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2010-12-14T08:00:00+00:00,2010-12-18T00:00:00+00:00,WindSpeed1ms,CHECKME,Manually flagged by bav,
2010-12-14T08:00:00+00:00,2010-12-18T00:00:00+00:00,WindSpeed2ms,CHECKME,Manually flagged by bav,
2013-12-19T01:00:00+00:00,2014-01-09T00:00:00+00:00,WindSpeed1ms,CHECKME,Manually flagged by bav,
2013-12-19T01:00:00+00:00,2014-01-09T00:00:00+00:00,WindSpeed2ms,CHECKME,Manually flagged by bav,
2014-03-16T14:00:00+00:00,2014-04-26T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2014-03-16T14:00:00+00:00,2014-04-26T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2012-04-10T14:00:00+00:00,2012-04-15T00:00:00+00:00,RelativeHumidity1Perc,CHECKME,Manually flagged by bav,
2012-04-10T14:00:00+00:00,2012-04-15T00:00:00+00:00,RelativeHumidity2Perc,CHECKME,Manually flagged by bav,
2014-06-30T15:00:00+00:00,2014-07-02T00:00:00+00:00,ShortwaveRadiationDownWm2,CHECKME,Manually flagged by bav,
2014-06-30T15:00:00+00:00,2014-07-02T00:00:00+00:00,ShortwaveRadiationUpWm2,CHECKME,Manually flagged by bav,
2001-09-25T00:00:00+00:00,2001-11-05T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
2002-12-15T00:00:00+00:00,2002-03-25T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
2002-11-15T00:00:00+00:00,2002-12-31T00:00:00+00:00,IceTemperature9,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature1,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature2,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature3,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature4,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature5,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature6,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature7,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature8,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature9,CHECKME,Manually flagged by bav,
2011-01-01T00:00:00+00:00,2019-01-01T00:00:00+00:00,IceTemperature10,CHECKME,Manually flagged by bav,
